"","HDI","e.finit.n","e.finit.s","e.grth.n","e.inov.n","e.inov.s","e.cinov.n","e.cinov.s","v.spoll.n","v.spoll.s","v.cfsus.n","v.cfsus.s","v.drop.n","v.drop.s"
"110",0.0360778,1.284,2.628,0.02964,0.02486,0.02574,0.00793,0.00045,5.37,5.15,0.7312,0.8144,0.00489,0.00889
"111",0.0108648,3.404,1.964,0.00604,0.02906,-0.01602,0.00775,0.00517,2.01,9.51,1.1536,0.8608,0.00163,0.00453
"112",-0.0527548,3.06,0.684,0.02292,0.01082,-0.0081,0.00279,0.00845,2.47,4.87,1.264,0.824,0.00989,0.00387
"113",0.0107564,0.508,0.572,0.00748,0.00326,0.02538,0.00313,0.00093,5.75,2.69,1.1072,0.888,0.00429,0.00703
"114",0.0328566,1.204,3.66,0.03172,0.02222,0.01494,0.00065,0.00041,6.55,5.37,0.8448,0.6768,0.00563,0.00799
"115",0.0106936,0.724,1.54,0.01572,0.0071,0.00954,0.00531,0.00747,8.19,1.01,0.7664,1.1904,0.00467,0.00293
"116",0.00752873,0.636,1.268,0.00292,0.04622,0.0117,0.00115,0.00243,1.09,3.93,0.6672,1.1152,0.00021,0.00129
"117",-0.0957315,3.46,2.676,0.03084,-0.00094,-0.02646,0.00835,0.00945,6.89,9.59,1.2752,1.2336,0.00063,0.00225
"118",-0.0784503,1.82,3.692,0.0394,-0.0067,-0.02598,0.00201,0.00219,6.69,5.87,0.5808,0.7216,0.00309,0.00725
"119",0.0206807,3.828,1.932,0.01252,0.03806,0.00282,0.00943,0.00961,2.37,6.47,0.6416,0.5904,0.00387,0.00649
"120",0.00478994,0.34,1.972,0.00868,0.04358,0.01878,0.00687,0.00751,3.21,3.79,0.7888,1.0224,0.00897,0.00363
"121",0.0277431,1.484,3.996,0.02036,0.03554,-0.00462,0.00567,0.00365,1.55,2.37,1.008,1.1984,0.00493,0.00403
"122",-0.00605078,1.7,2.156,0.02356,0.04934,0.01482,0.00557,0.00429,0.69,2.47,1.104,0.7792,0.00305,0.00849
"123",0.0416224,1.076,2.788,0.03508,0.0413,-0.01278,0.00191,0.00143,5.63,8.67,0.88,1.256,0.00911,0.00761
"124",-0.00974068,2.22,2.084,0.03532,-0.00118,-0.00042,0.00649,0.00073,6.03,3.55,1.016,1.1216,0.00449,0.00659
"125",0.0125858,3.852,0.444,0.02676,0.00674,-0.01578,0.00123,0.00101,7.27,9.89,0.9616,0.8096,0.00427,0.00945
"126",0.0194036,3.212,2.292,0.02236,0.03926,-0.02862,0.00601,0.00317,9.39,8.73,0.9232,0.5024,0.00491,0.00789
"127",-0.0506763,3.34,2.94,0.01764,0.01946,-0.02118,0.00249,0.00587,6.11,0.99,0.6576,1.0192,0.00213,0.00813
"128",-0.0121197,2.916,1.988,0.01668,-0.00754,0.02526,0.00323,0.00395,1.99,4.23,0.9984,1.2704,0.00561,0.00693
"129",-0.00678157,3.1,3.724,0.0166,0.0389,-0.02766,0.00975,0.00473,6.77,0.33,0.76,1.0176,0.00423,0.00331
"130",-0.0916745,0.892,2.036,0.0382,-0.00634,0.02886,0.00843,0.00899,5.69,3.83,1.1616,0.9456,0.00077,0.00671
"131",0.000404722,1.34,3.556,0.02604,0.00734,-0.00234,0.00937,0.00131,7.91,4.55,1.1712,1.0656,0.00335,0.00079
"132",0.0174305,2.108,1.132,0.00972,0.04598,-0.01482,0.00157,0.00857,9.93,3.09,0.6176,0.6048,0.00293,0.00769
"133",0.024612,0.884,0.924,0.01372,0.0377,0.01002,0.00549,0.00241,6.19,7.75,0.8864,0.7504,0.00435,0.00279
"134",-0.0148635,1.66,1.052,0.00844,0.00998,-0.0087,0.00091,0.00941,7.51,2.11,0.8784,1.2432,0.00529,0.00161
"135",0.0128333,1.396,1.98,0.01076,0.02534,-0.02742,0.00921,0.00169,9.15,5.65,0.5312,1.192,0.00757,0.00165
"136",-0.0818148,1.188,2.452,0.02428,0.00194,-0.02502,0.00739,0.00523,5.91,7.99,0.52,0.5088,0.00605,0.00067
"137",0.0150469,2.316,2.26,0.00956,0.03326,0.02238,0.00309,0.00577,3.57,5.09,1.1664,0.9536,0.00365,0.00719
"138",0.0101028,0.14,3.34,0.00092,0.0269,0.00786,0.00195,0.00457,5.93,8.35,1.0064,1.224,0.00545,0.00329
